source_id,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
3012451892042181632,10.939926557327503,10.983135113980286,10.55792505719048,10.281459197087784,10.011841686766147,1.7297740480740195e-15,2.570549399949961e-15,2.181473678170697e-15,1.6873933031442455e-15,1.154046545418594e-15,1.0786807717075027e-17,2.2148712860475016e-18,1.3542125739154881e-18,1.0623853980849378e-18,3.4769474760254954e-19,10.94582940408695,10.999836826112809,10.571591235399335,10.29907076553214,10.02209567731538,1.9147330707418634e-15,2.5802706924405036e-15,2.1723185253368275e-15,1.6968821991007065e-15,1.1552653004637122e-15,1.1200961517726737e-17,2.2193165869247232e-18,1.3335032270117951e-18,1.0855443006712633e-18,3.4705159747808163e-19
2192468276467448192,14.871210200871367,14.64161898544575,13.615453934727462,12.99073262899045,12.379350090170313,4.6288799729137696e-17,8.843667500106487e-17,1.3053844233111448e-16,1.3915760588969549e-16,1.3038269809293344e-16,1.7304744856437163e-18,1.9495029105969781e-19,1.5095506132980695e-19,1.1919121025861408e-19,5.897442838133711e-20,15.125272561595926,14.659713911608176,13.6220022806183,13.013306415496363,12.390493209005268,4.076908602117199e-17,8.865728659732941e-17,1.308455893750581e-16,1.3930202631422133e-16,1.3041354980598896e-16,1.3907457470805381e-18,2.0352267912975192e-19,1.4912649676429732e-19,1.2161872844286537e-19,5.879282487198069e-20
2004626614782678656,11.356990138839166,11.215261600007754,10.908762204705013,10.737476574099212,10.566742461619995,1.1780505990761086e-15,2.07575149793205e-15,1.579119942126122e-15,1.1086880598331037e-15,6.922500811876139e-16,1.948571942672855e-17,2.509045840229242e-18,1.7562035126126966e-18,1.0946986376923314e-18,2.824063449519563e-19,11.369426570278806,11.233051162680415,10.924789184313223,10.753660963078186,10.576615119032954,1.2961921050460394e-15,2.0815149522723285e-15,1.5690772523355479e-15,1.1163891699664152e-15,6.932245785345859e-16,1.9386288747895127e-17,2.5583421591516334e-18,1.7323358964751788e-18,1.1206531782105767e-18,2.8234380471404664e-19
2004626614780039296,11.521619514866067,11.459131960745413,11.078140003524332,10.849245592068144,10.610414160235116,1.0123068929931093e-15,1.6581629830728493e-15,1.3510269072796017e-15,1.000234345819264e-15,6.649581846445663e-16,1.3412800929544724e-17,1.753549548946802e-18,1.1127591789753803e-18,7.538382248902926e-19,2.6258547988455667e-19,11.532433976434671,11.476931997376735,11.093247909443381,10.866343530506814,10.620485758299726,1.1154918701229595e-15,1.6627509362637633e-15,1.3435716647760676e-15,1.0063350236946334e-15,6.657722611538549e-16,1.3360179686275643e-17,1.7969168130409664e-18,1.0987576165582912e-18,7.704471703621381e-19,2.6165918858337056e-19
360070713564812288,10.319460073539673,10.280120249181987,9.634439150843775,9.25321185013997,8.92004564664117,3.0632043536005578e-15,4.9117007634464075e-15,5.106746967336559e-15,4.350260460113639e-15,3.154581422043903e-15,8.706295208542283e-17,4.6888375786582186e-18,4.104679585165168e-18,3.1432665738565316e-18,1.3995349036130602e-18,10.35752046979158,10.292173457216325,9.645902228669652,9.271837325057792,8.930504594418249,3.291787654180659e-15,4.9514296972839576e-15,5.095644346340089e-15,4.370640341111246e-15,3.1573168127708735e-15,8.434203936460765e-17,4.840630580301327e-18,4.044420087367348e-18,3.2060305679793673e-18,1.3945434426350244e-18
4408808810090165632,10.823046470471837,11.35903797587915,11.050289798643405,10.695987081826864,10.323518200195124,1.926377565396314e-15,1.8182969474917853e-15,1.3861303749761956e-15,1.151874508546924e-15,8.660694509740395e-16,1.5706838177964927e-16,3.347126898439398e-17,7.283672055742068e-18,4.935993458899208e-18,2.798080625267591e-18,10.836031727155737,11.378149516346728,11.06428084686134,10.715385708580346,10.334058157062739,2.1184943454026053e-15,1.8211268331074192e-15,1.3799001480930104e-15,1.1564469540238231e-15,8.6675576148811025e-16,1.676759308597467e-16,3.30979678614122e-17,7.159427299045752e-18,5.029616072175167e-18,2.8020878228748496e-18
2801579924204057472,9.77689147074387,10.006695966637135,9.517313890496048,9.285416514638548,8.759552404422436,5.048977225283919e-15,6.3183199385776724e-15,5.688456532023611e-15,4.223119728328183e-15,3.657118545574985e-15,1.9991532601784085e-16,9.927265373363995e-17,6.677565242513375e-17,6.721336982930286e-17,1.3508520089444229e-17,9.78807806503955,10.020972219272789,9.538936951271591,9.308481564924012,8.769779521216424,5.561715557319242e-15,6.356398438434921e-15,5.623221871406541e-15,4.225590174540005e-15,3.661071338685004e-15,2.1640884866075975e-16,9.968954126383934e-17,6.618508523991154e-17,6.870966160529999e-17,1.3568449599461771e-17
3686838448448857472,9.15778909566032,9.719557517310061,9.78385366347461,9.22629578764598,8.557161031503703,8.929854068936684e-15,8.231083228534406e-15,4.450189806482534e-15,4.459453963822322e-15,4.4065183947500936e-15,1.2335221257349206e-15,4.1980256280588315e-16,1.0622163959497084e-16,1.1938091961440128e-16,6.450186341488045e-17,9.082901425172494,9.75627605366454,9.795520196105802,9.249997135185307,8.568499682938675,1.0648279200670243e-14,8.111283457156802e-15,4.4396825871133575e-15,4.45944842906551e-15,4.406767388213447e-15,1.472371853179847e-15,4.0619523550062917e-16,1.0521279720994607e-16,1.2144141416795783e-16,6.455979904685698e-17
142699914749945088,12.484258968917082,11.728997448579872,10.424390340130316,9.71604256582232,9.1228262089668,4.1711558059758335e-16,1.293245632998103e-15,2.4669699757814763e-15,2.8404226928032677e-15,2.6171554344169637e-15,1.740427428006596e-17,2.32732694231811e-18,2.4318642372744235e-18,1.9233340016657684e-18,7.783078255872309e-19,12.99881134264157,11.733419066390336,10.42778036530093,9.73865900713373,9.133798717033176,2.8901172553994095e-16,1.3129021920764173e-15,2.4799781466582803e-15,2.843258833830552e-15,2.618186102012761e-15,1.1174909977327443e-17,2.468074548910558e-18,2.398061811482308e-18,1.9637492224504862e-18,7.779551046304873e-19
712926672345445760,12.055914209692176,11.904135598760991,11.270372012887726,10.90592014631089,10.590022222016358,6.188627119321156e-16,1.1005905018169767e-15,1.1318039227758911e-15,9.493622124758554e-16,6.775652293678214e-16,8.310652668207835e-18,1.2748114020467219e-18,9.634098313935668e-19,7.380962640349246e-19,2.0886629777673736e-19,12.08540682300136,11.916625254123627,11.281861802791386,10.92418795215102,10.600443861260285,6.703124268382636e-16,1.1090468645636034e-15,1.1293154738783477e-15,9.541239976401278e-16,6.781760609760423e-16,8.173172726536602e-18,1.3175470369366985e-18,9.49647228875974e-19,7.547312210388215e-19,2.0862790973826769e-19
