wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,epoch_prop_flag,wds_pm1,wds_pm2,wds_ra1,wds_dec1,wds_ra2,wds_dec2,gaia_designation1,gaia_source_id1,gaia_ra1,gaia_dec1,gaia_parallax1,gaia_pmra1,gaia_pmdec1,gaia_pm1,gaia_phot_g_mean_mag1,gaia_phot_bp_mean_mag1,gaia_phot_rp_mean_mag1,gaia_has_xp_continuous1,gaia_ruwe1,gaia_phot_variable_flag1,gaia_non_single_star1,gaia_flag1,gaia_designation2,gaia_source_id2,gaia_ra2,gaia_dec2,gaia_parallax2,gaia_pmra2,gaia_pmdec2,gaia_pm2,gaia_phot_g_mean_mag2,gaia_phot_bp_mean_mag2,gaia_phot_rp_mean_mag2,gaia_has_xp_continuous2,gaia_ruwe2,gaia_phot_variable_flag2,gaia_non_single_star2,gaia_flag2,xm_chk1,xm_chk2,gaia_sep,gaia_br_diff1,gaia_br_diff2,syn1,syn2,syn_dm
0,18124-0718,"A    36A,BC","A,BC",2020.5356,V,71.2909,0.0207,39.0,0.02,5.6,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,7.78,11.03,-22.0,-50.0,-13.0,8.0,,.,54.62600113499065,15.264337522473747,273.09998475715537,-7.2971944444303105,273.11258885870353,-7.281546650176064,Gaia DR3 4160558188577118848,4160558188577118848,273.1000021445478,-7.297210008844486,12.612096795258209,-22.16814737921553,-51.42137843394456,55.996292,7.6010613,7.863144,7.1690984,True,0.973082,NOT_AVAILABLE,0,.,Gaia DR3 4160559700381851520,4.1605597003818516e+18,273.1126266511471,-7.281848767464517,5.87419570507988,-9.536652759028833,-0.3084780284368014,9.54164,11.485186,11.538608,10.5198,False,1.3153316,NOT_AVAILABLE,0.0,:,True,False,71.34724215471877,0.6940455999999999,1.018808,7.734999410842999,,
1,18124-0718,"A    36A,BC","A,BC",2020.5356,y,71.1704,0.0264,38.95,0.02,5.5,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,7.78,11.03,-22.0,-50.0,-13.0,8.0,,.,54.62600113499065,15.264337522473747,273.09998475715537,-7.2971944444303105,273.112554101858,-7.281561812631877,Gaia DR3 4160558188577118848,4160558188577118848,273.1000021445478,-7.297210008844486,12.612096795258209,-22.16814737921553,-51.42137843394456,55.996292,7.6010613,7.863144,7.1690984,True,0.973082,NOT_AVAILABLE,0,.,Gaia DR3 4160559700381851520,4.1605597003818516e+18,273.1126266511471,-7.281848767464517,5.87419570507988,-9.536652759028833,-0.3084780284368014,9.54164,11.485186,11.538608,10.5198,False,1.3153316,NOT_AVAILABLE,0.0,:,True,False,71.34724215471877,0.6940455999999999,1.018808,7.7249079745404,,
2,05192-0304,A    53AB,AB,2022.0851,y,1.683,0.0164,294.29,0.58,3.4,0.0236,*,3,1,Gaia DR3 3213958769587525888,Gaia DR3 3213958769589070848,.,.,7.97,11.4,700.0,138.0,653.0,99.0,NT,.,713.4731950115576,660.4619595404416,79.80586559170534,-3.073192217696913,79.80522967346099,-3.073173242936454,Gaia DR3 3213958769587525888,3213958769587525888,79.80586741563162,-3.07320375008595,63.64345779109681,699.9096105469612,137.82430941282388,713.3505,7.4928217,8.024881,6.745429,True,0.9689201,NOT_AVAILABLE,0,!,Gaia DR3 3213958769589070848,3.213958769589071e+18,79.80552237243057,-3.0729572118890207,,,,,10.098277,,,False,,NOT_AVAILABLE,0.0,.,True,True,1.5252012137502255,1.279452000000001,,7.787468618784352,,
3,06486-0405,A    58AB,AB,2021.1702,y,5.0778,0.0023,161.43,0.03,1.3,0.0,*,1,1,Gaia DR3 3102372804823185920,Gaia DR3 3102372804823186176,.,.,7.37,8.66,-49.0,-81.0,-49.0,-81.0,L,.,94.66784036831092,94.66784036831092,102.14886500330232,-4.076082222187141,102.14931533466314,-4.077419284783665,Gaia DR3 3102372804823185920,3102372804823185920,102.14876131893486,-4.076265003018306,20.65895455604872,-48.90273373912791,-81.07399858706232,94.680885,7.1928306,7.437049,6.7857065,False,0.9931755,NOT_AVAILABLE,0,.,Gaia DR3 3102372804823186176,3.1023728048231864e+18,102.14921542450104,-4.077592962969475,20.6725248686906,-54.60900930705114,-90.60734575802115,105.791466,8.301079,8.610408,7.812938,False,1.1306361,NOT_AVAILABLE,0.0,.,True,True,5.051105562107266,0.6513425000000002,0.7974699999999997,,,
4,05424+1259,A   116,AB,2022.1066,y,1.6954,0.0136,291.63,0.46,3.2,0.0,:,1,1,,,$,$,8.93,12.4,-8.0,-7.0,-8.0,-7.0,,!,10.63014581273465,10.63014581273465,85.59392184576572,12.977913333331276,85.59347258761181,12.978086928404808,Gaia DR3 3340534342021498112,3340534342021498112,85.59396790014208,12.97792961544586,1.916879392699076,-4.122910994649931,-6.1402133790630735,7.3959866,8.867665,8.999536,8.580257,True,1.837038,NOT_AVAILABLE,0,!,Gaia DR3 3340534342018616064,3.3405343420186163e+18,85.5935396639988,12.978089699550988,1.9717984466519112,-4.578268331751258,-7.247548297739595,8.572485,11.511905,,,False,1.7318923,NOT_AVAILABLE,0.0,.,False,False,1.6090190151353727,0.4192790000000013,,8.928102639129534,,
5,14220+5107,A   148,AB,2021.3103,y,0.4848,0.0005,191.04,0.06,0.5,0.0,,1,1,Gaia DR3 1604722141111356288,,.,$,8.32,8.96,17.0,45.0,17.0,45.0,,.,48.104053883222775,48.104053883222775,215.50512034813383,51.11139444437957,215.5050792720209,51.1112622698828,Gaia DR3 1604722141111356288,1604722141111356288,215.5051453662549,51.11153035369859,,,,,8.392113,7.9219327,7.356852,True,,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.5650807000000002,,7.811444087284975,,
6,19273+2040,A   159AB,AB,2020.5765,V,0.7889,0.0,331.68,0.0,3.7,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,8.5,10.43,2.0,-13.0,4.0,-6.0,,.,13.152946437965904,7.211102550927978,291.83688450036874,20.66883111111175,291.83678289061214,20.669055132738343,Gaia DR3 2017928059787352320,2017928059787352320,291.8368985776909,20.66884553346917,2.092001815579174,2.076943372958452,-6.533890085065125,6.8560495,8.31818,8.372095,7.917895,True,3.2497795,NOT_AVAILABLE,0,!,Gaia DR3 2017928059758426240,2.017928059758426e+18,291.8367903364563,20.669058530893725,2.5256443657569005,3.587163970803969,-5.379154694609694,6.465528,10.730407,,,False,5.875136,NOT_AVAILABLE,0.0,!,True,True,0.8490536751387289,0.45420000000000016,,8.379996917232642,,
7,19273+2040,A   159AB,AB,2020.5765,y,0.7942,0.0,336.37,0.0,2.8,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,8.5,10.43,2.0,-13.0,4.0,-6.0,,.,13.152946437965904,7.211102550927978,291.83688450036874,20.66883111111175,291.836799490276,20.669064335723093,Gaia DR3 2017928059787352320,2017928059787352320,291.8368985776909,20.66884553346917,2.092001815579174,2.076943372958452,-6.533890085065125,6.8560495,8.31818,8.372095,7.917895,True,3.2497795,NOT_AVAILABLE,0,!,Gaia DR3 2017928059758426240,2.017928059758426e+18,291.8367903364563,20.669058530893725,2.5256443657569005,3.587163970803969,-5.379154694609694,6.465528,10.730407,,,False,5.875136,NOT_AVAILABLE,0.0,!,True,True,0.8490536751387289,0.45420000000000016,,8.365768032306192,,
8,02172+3729,A   206AB,AB,2021.8467,y,0.3262,0.0039,152.54,0.68,2.0,0.0,:,1,1,Gaia DR3 331280246407595264,,.,$,9.23,10.8,23.0,-25.0,23.0,-25.0,,!,33.97057550292606,33.97057550292606,34.299712152778866,37.48327777770957,34.29976480773759,37.4831973754708,Gaia DR3 331280246407595264,331280246407595264,34.29973361963441,37.48327253286857,8.540002985111538,20.228166177480457,-21.05599176158039,29.198175,9.2483225,9.248994,8.566095,False,9.065259,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.682898999999999,,,,
9,02584-0135,A   208AB,AB,2022.0298,y,0.5132,0.0031,305.22,1.63,0.8,0.2722,:,2,1,,,$,$,9.26,10.07,14.0,13.0,14.0,13.0,N,.,19.1049731745428,19.1049731745428,44.59977057924534,-1.5808311111110742,44.59965407504897,-1.5807488968215708,Gaia DR3 5187688381757000064,5187688381757000064,44.59980828312963,-1.5808604978645522,,,,,8.951077,8.922543,8.265147,False,,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,False,False,,0.6573959999999985,,,,
