wds_id,wds_dd,wds_comp,wsi_ra_deg,wsi_dec_deg,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2
18124-0718,"A    36A,BC","A,BC",273.1,-7.2969,2020.5356,V,71.2909,0.0207,39.0,0.02,5.6,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$
18124-0718,"A    36A,BC","A,BC",273.1,-7.2969,2020.5356,y,71.1704,0.0264,38.95,0.02,5.5,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$
05192-0304,A    53AB,AB,79.8,-3.0736,2022.0851,y,1.683,0.0164,294.29,0.58,3.4,0.0236,*,3,1,Gaia DR3 3213958769587525888,Gaia DR3 3213958769589070848,.,.
06486-0405,A    58AB,AB,102.1458,-4.0756,2021.1702,y,5.0778,0.0023,161.43,0.03,1.3,0.0,*,1,1,Gaia DR3 3102372804823185920,Gaia DR3 3102372804823186176,.,.
05424+1259,A   116,AB,85.5917,12.9778,2022.1066,y,1.6954,0.0136,291.63,0.46,3.2,0.0,:,1,1,,,$,$
14220+5107,A   148,AB,215.5042,51.1111,2021.3103,y,0.4848,0.0005,191.04,0.06,0.5,0.0,,1,1,Gaia DR3 1604722141111356288,,.,$
19273+2040,A   159AB,AB,291.8333,20.6689,2020.5765,V,0.7889,0.0,331.68,0.0,3.7,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.
19273+2040,A   159AB,AB,291.8333,20.6689,2020.5765,y,0.7942,0.0,336.37,0.0,2.8,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.
02172+3729,A   206AB,AB,34.2958,37.4833,2021.8467,y,0.3262,0.0039,152.54,0.68,2.0,0.0,:,1,1,Gaia DR3 331280246407595264,,.,$
02584-0135,A   208AB,AB,44.5958,-1.5808,2022.0298,y,0.5132,0.0031,305.22,1.63,0.8,0.2722,:,2,1,,,$,$
09260+2839,A   222,AB,141.5083,28.6503,2022.1999,y,0.3852,0.0011,359.76,0.33,0.7,0.1087,:,3,1,Gaia DR3 695443342248789504,,.,$
01343-0827,A   314,AB,23.5792,-8.4575,2021.8838,y,0.4686,0.0072,2.38,0.86,1.5,0.1,q,6,2,Gaia DR3 2477163177273324544,,.,$
07237-0528,A   333,AB,110.9167,-5.4653,2022.1261,y,0.809,0.0086,334.47,1.03,2.4,0.008,:,2,1,,,$,$
19594+3206,A   378,AB,299.8417,32.1078,2021.5704,y,0.9232,0.0006,291.4,0.04,0.9,0.0,,1,1,Gaia DR3 2033994119367185920,Gaia DR3 2033994123709274624,.,.
20080+4204,A   383,AB,302.0,42.0608,2021.8053,y,0.2833,0.0344,2.33,9.56,0.1,0.1474,:,3,1,,,$,$
23561+2520,A   426,AB,359.0292,25.3406,2021.7456,y,0.3608,0.0077,282.89,0.58,0.4,0.0694,:,3,1,Gaia DR3 2851814170936555776,,.,$
23561+2520,A   426,AB,359.0292,25.3406,2021.8758,y,0.3273,0.0239,279.82,1.15,0.3,0.3771,:,7,3,Gaia DR3 2851814170936555776,,.,$
00039+2759,A   429AB,AB,0.9708,27.9803,2020.8815,y,0.5332,0.0253,326.52,1.42,1.3,0.0731,:,2,1,,,$,$
02453-0529,A   453,AB,41.3125,-5.4828,2022.0299,V,0.9269,0.0054,90.97,0.33,0.7,0.0,:,1,1,,,$,$
02453-0529,A   453,AB,41.3125,-5.4828,2022.0299,y,0.9491,0.0108,97.32,0.65,0.4,0.0,:,1,1,,,$,$
05043-0602,A   481AB,AB,76.075,-6.0311,2022.085,y,0.4234,0.0096,280.35,0.99,1.3,0.0665,q,3,1,Gaia DR3 3211296783218366336,,.,$
05487-0856,A   499AB,AB,87.1667,-8.9308,2021.0583,V,12.0558,0.0193,239.36,0.09,3.4,0.0,,1,1,Gaia DR3 3012451990824399872,,.,$
07378-0236,"A   534AB,C","AB,C",114.45,-2.5969,2022.1261,y,1.4322,0.0104,305.18,0.41,3.0,0.0542,:,2,1,Gaia DR3 3060924751210213888,,.,$
10370-0850,A   556AB,AB,159.25,-8.8397,2021.3019,y,0.916,0.0144,215.67,1.28,2.9,0.0029,,2,1,Gaia DR3 3762120497774235648,,.,$
20519+0544,A   613,AB,312.975,5.7414,2021.845,y,0.6235,0.0012,314.69,0.03,0.4,0.05,q,6,2,,,$,$
21545+4403,A   620,AB,328.6292,44.0478,2021.8218,y,0.3532,0.0018,288.79,0.29,0.0,0.0,,2,1,Gaia DR3 1973181509929215104,,.,$
22520+5743,A   632,AB,343.0,57.7167,2021.7838,y,0.3449,0.0204,94.61,4.36,0.6,0.1633,,9,3,,,$,$
22520+5743,A   632,AB,343.0,57.7167,2021.9503,y,0.3594,0.0165,92.67,1.28,0.7,0.0829,q,3,1,,,$,$
00205+4531,A   647,AB,5.1375,45.5089,2021.9505,y,0.7279,0.0008,90.61,0.06,2.2,0.0,q,1,1,,,$,$
00298+6904,A   649,AB,7.4542,69.0747,2021.9505,y,0.4284,0.0025,138.77,0.33,0.3,0.0,:,1,1,Gaia DR3 529716187982962560,Gaia DR3 529716187981171840,.,.
00434+4726,A   651,AB,10.8417,47.4383,2021.9332,y,0.9426,0.0057,137.42,0.36,1.3,0.1414,:,9,3,Gaia DR3 390034814901709440,Gaia DR3 390034814898746112,.,.
06319-0938,A   670,AB,97.9792,-9.6364,2022.107,y,0.5396,0.0147,177.21,0.85,1.4,0.0722,:,3,1,Gaia DR3 3002971043795474176,,.,$
07309+3034,A   673AB,AB,112.725,30.5739,2022.1669,y,0.3229,0.0013,345.94,0.23,0.6,0.0,:,1,1,Gaia DR3 891766056829306368,Gaia DR3 891766056828534400,.,.
07446+3107,A   674,AB,116.1583,31.1139,2022.1096,y,1.0486,0.0024,122.8,0.13,2.0,0.0,:,1,1,Gaia DR3 880048041725384064,Gaia DR3 880048046016255104,.,.
20210+4437,A   725,AB,305.2375,44.6081,2021.8026,y,0.9008,0.0,28.13,0.01,0.8,0.05,q,6,2,Gaia DR3 2081388160068434048,Gaia DR3 2081388160059813120,.,.
20335+4703,A   738AB,AB,308.375,47.0494,2021.7152,y,2.5169,0.0,247.52,0.0,2.8,0.0,,1,1,Gaia DR3 2071586112684243328,Gaia DR3 2071586116976482688,.,.
21056+6030,A   758AB,AB,316.3917,60.4925,2021.8053,V,0.3382,0.0236,122.88,1.4,1.0,0.0693,:,3,1,Gaia DR3 2192468383843943168,,.,$
