wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_coord1,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,wds_pm1,wds_pm2,wds_ra1_J2000,wds_dec1_J2000,wds_ra2_J2000,wds_dec2_J2000,wds_ra1_J2016,wds_dec1_J2016,wds_ra2_J2016,wds_dec2_J2016,epoch_prop_flag,gaia_id1,gaia_mag1,gaia_pm1,wds_gaia_dm1,wds_gaia_sep1,gaia_flag1,gaia_id2,gaia_mag2,gaia_pm2,wds_gaia_dm2,wds_gaia_sep2,gaia_flag2,xm_chk1,xm_chk2,jxm_id1,jxm_chk,sb_jxm_chk
0,18124-0718,"A    36A,BC","A,BC",2020.5356,V,71.2909,0.0207,39.0,0.02,5.6,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,18 12 24.02 -07 17 49.1,7.78,11.03,-22.0,-50.0,-13.0,8.0,,54.62600113499065,15.264337522473747,273.10008333333326,-7.29697222222222,273.11264710622834,-7.281582205734789,273.09998475715537,-7.2971944444303105,273.11258885870353,-7.281546650176064,,Gaia DR3 4160558188577118848,7.6010613,55.996292,0.1789388656616211,0.0836328132203819,.,Gaia DR3 4160559700381851520,11.485186,9.54164,0.4551858901977539,1.0959631052957206,.,True,False,Gaia DR3 4160558188577118848,True,True
1,18124-0718,"A    36A,BC","A,BC",2020.5356,y,71.1704,0.0264,38.95,0.02,5.5,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,18 12 24.02 -07 17 49.1,7.78,11.03,-22.0,-50.0,-13.0,8.0,,54.62600113499065,15.264337522473747,273.10008333333326,-7.29697222222222,273.11261234938473,-7.281597368190606,273.09998475715537,-7.2971944444303105,273.112554101858,-7.281561812631877,,Gaia DR3 4160558188577118848,7.6010613,55.996292,0.1789388656616211,0.0836328132203819,.,Gaia DR3 4160559700381851520,11.485186,9.54164,0.4551858901977539,1.0650277301372992,.,True,False,Gaia DR3 4160558188577118848,True,True
2,05192-0304,A    53AB,AB,2022.0851,y,1.683,0.0164,294.29,0.58,3.4,0.0236,*,3,1,Gaia DR3 3213958769587525888,Gaia DR3 3213958769589070848,.,.,05 19 12.66 -03 04 25.7,7.97,11.4,700.0,138.0,653.0,99.0,NT,713.4731950115576,660.4619595404416,79.80274999999999,-3.0738055555555563,79.80232327153566,-3.07361324687592,79.80586559170534,-3.073192217696913,79.80522967346099,-3.073173242936454,,Gaia DR3 3213958769587525888,7.4928217,713.3505,0.4771780967712402,0.042031158970536,.,Gaia DR3 3213958769589070848,10.098277,,1.301722526550293,1.30841988739532,.,True,True,Gaia DR3 3213958769587525888,True,True
3,06486-0405,A    58AB,AB,2021.1702,y,5.0778,0.0023,161.43,0.03,1.3,0.0,*,1,1,Gaia DR3 3102372804823185920,Gaia DR3 3102372804823186176,.,.,06 48 35.78 -04 04 32.6,7.37,8.66,-49.0,-81.0,-49.0,-81.0,L,94.66784036831092,94.66784036831093,102.14908333333332,-4.075722222222222,102.14953366505728,-4.077059284818756,102.14886500330232,-4.076082222187141,102.14931533466314,-4.077419284783665,,Gaia DR3 3102372804823185920,7.1928306,94.680885,0.1771693229675293,0.7560425219945498,.,Gaia DR3 3102372804823186176,8.301079,105.791466,0.3589210510253906,0.7208606335187046,.,True,True,Gaia DR3 3102372804823185920,True,True
4,05424+1259,A   116,AB,2022.1066,y,1.6954,0.0136,291.63,0.46,3.2,0.0,:,1,1,,,$,$,05 42 22.55 +12 58 40.6,8.93,12.4,-8.0,-7.0,$,$,,10.63014581273465,$,85.59395833333333,12.977944444444448,85.5935090752049,12.978118039517977,85.59392184576572,12.977913333331276,85.59347258761181,12.978086928404808,!,Gaia DR3 3340534342021498112,8.867665,7.3959866,0.0623350143432617,0.1718652836167417,.,Gaia DR3 3340534342018616064,11.511905,8.572485,0.8880949020385742,0.2355181414500227,.,False,False,Gaia DR3 3340534342021498112,True,False
5,14220+5107,A   148,AB,2021.3103,y,0.4848,0.0005,191.04,0.06,0.5,0.0,,1,1,Gaia DR3 1604722141111356288,,.,$,14 22 01.20 +51 06 40.3,8.32,8.96,17.0,45.0,17.0,45.0,,48.104053883222775,48.104053883222775,215.505,51.11119444444444,215.5049589242313,51.11106226994767,215.50512034813383,51.11139444437957,215.5050792720209,51.1112622698828,,Gaia DR3 1604722141111356288,8.392113,,0.072113037109375,0.492529984763319,.,,,,,,$,True,False,Gaia DR3 1604722141111356288,True,True
6,19273+2040,A   159AB,AB,2020.5765,V,0.7889,0.0,331.68,0.0,3.7,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,19 27 20.85 +20 40 08.0,8.5,10.43,2.0,-13.0,4.0,-6.0,,13.152946437965904,7.211102550927978,291.836875,20.66888888888889,291.8367638898466,20.66908179940564,291.83688450036874,20.66883111111175,291.83678289061214,20.669055132738343,,Gaia DR3 2017928059787352320,8.31818,6.8560495,0.1818199157714843,0.0703140232304281,.,Gaia DR3 2017928059758426240,10.730407,6.465528,0.3004064559936523,0.0279042612184586,.,True,True,Gaia DR3 2017928059787352320,True,True
7,19273+2040,A   159AB,AB,2020.5765,y,0.7942,0.0,336.37,0.0,2.8,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,19 27 20.85 +20 40 08.0,8.5,10.43,2.0,-13.0,4.0,-6.0,,13.152946437965904,7.211102550927978,291.836875,20.66888888888889,291.8367804895093,20.669091002390388,291.83688450036874,20.66883111111175,291.836799490276,20.669064335723093,,Gaia DR3 2017928059787352320,8.31818,6.8560495,0.1818199157714843,0.0703140232304281,.,Gaia DR3 2017928059758426240,10.730407,6.465528,0.3004064559936523,0.0372472089274414,.,True,True,Gaia DR3 2017928059787352320,True,True
8,02172+3729,A   206AB,AB,2021.8467,y,0.3262,0.0039,152.54,0.68,2.0,0.0,:,1,1,Gaia DR3 331280246407595264,,.,$,02 17 11.90 +37 29 00.2,9.23,10.8,23.0,-25.0,$,$,,33.97057550292606,$,34.29958333333334,37.48338888888889,34.29963598843069,37.48330848665011,34.299712152778866,37.48327777770957,34.29976480773759,37.4831973754708,!,Gaia DR3 331280246407595264,9.2483225,29.198175,0.0183229446411132,0.0641655421644754,.,,,,,,$,True,False,Gaia DR3 331280246407595264,True,True
9,02584-0135,A   208AB,AB,2022.0298,y,0.5132,0.0031,305.22,1.63,0.8,0.2722,:,2,1,,,$,$,02 58 23.93 -01 34 51.2,9.26,10.07,14.0,13.0,14.0,13.0,N,19.1049731745428,19.1049731745428,44.599708333333325,-1.5808888888888886,44.59959182913942,-1.5808066745993847,44.59977057924534,-1.5808311111110742,44.59965407504897,-1.5807488968215708,,Gaia DR3 5187688381757000064,8.951077,,0.3089227676391601,0.17205146309542,.,,,,,,$,False,False,Gaia DR3 5187688381757000064,True,False
